183
10 652
assvglzbcwrppwguhvemlz iincxkbzcvvlgwmjtf begkckxnlecwo lzbnewipdedoziokj uxftmqxomnfmagpnkoxbr hdovpasiwpnpdfmtubagbhy mmxfqdmusj ctotgdzmrsg ovcmkv sfrwrnqdzifsya
true nuuvopljra 4479663 6703 jtdmugnjch 2407103642509065980 637621771 1837/80/98 rcgedvw true
false jehzsidcpvvauvdtnlgzvx 41735006389 09840584391999 wevaiwjiwvuivm 69145423855 44902553830 6586/81/40 dpxrnvmgptuzvtfyyibm false
true fxgncnxbspzjeuyklrenp 63438851947523691524 1287840379925 igrnf 28867 9223657527 1200/42/29 kfyzkmsxisendynwoqx true
true gvpqbrsbyeiyevmyswswjv 39852423027 54708414 gcq 86669 1088221855720113256 6941/30/19 pkmykuxdtyfqvgcrbxqnhaqksxeke true
false uqsgnrjgrow 08469058397 89 heg 87 5038445477415511 4621/01/22 oyppxmwldodox true
true hokvpd 048072 186 ryupjagnofibkqpvngacyegejue 6 62771619 3752/05/83 pvbtufzyr true
true rkchnj 920317715543 5 zlcamtvrmobqwqzlrpl 6199665181292 309617588 5616/69/98 ykvyqcudzkskeigruw false
true iwvcivletwedt 86 5193 rbqiwmavalsxncuagowntqsp 185 4 1517/79/91 zsbxfdthkhexdwrukkltoxmlkx false
false xbuqctxfmfrwlqzhhvrrimh 54682032914965 20841 vusrnlbavhbpzbanwicnivxfxyirs 28427752 43620209229488312575 4592/11/18 zmjtaflo true
true jydxdethcycw 2663772278135543 7424458508732378127 h 7553207586230 8031906 1332/75/17 fzlnyyxdfeptfnnhbiqmfkmar false
true zhzf 98639 492841 mskcfpprpgbjlcqlhwyzclrnbopntg 507996807156 62154552247644994 2659/86/56 phsfawkfiojtvzzqttbbjtxdkvhhek false
true sdvrpbzdmuyntrhoukxnjdaemhly 44199606128382855995 761318626 scyesrgkkmnyrfgoebenylhvqghe 47367106119427753 3158721644622015 8989/52/26 unvpzqqoqebcbnfhhngtxrgiwjl false
true sjhpyifowxuzaxnhfwwnsteydch 865854355193459088 966669169796 lvospaxur 895704535 940156048847 1328/51/38 xvrwtrprnumrk true
false funxzimuwtrksfspalnufcnuyzlj 128196852849 6102 nbjjilwcmxpvwmldgmhyzzpljuh 5 727031852809398080 8121/83/17 i false
